Term	Gene
Glutamatergic_neurons	Gsg1l
Glutamatergic_neurons	Rxfp1
Glutamatergic_neurons	Fermt1
Glutamatergic_neurons	Cbln4
Glutamatergic_neurons	Cemip
Glutamatergic_neurons	Ovol2
Glutamatergic_neurons	RP23-231J2.1
Glutamatergic_neurons	Dbpht2
Glutamatergic_neurons	Cdkl4
Glutamatergic_neurons	Nwd2
Glutamatergic_neurons	D630023F18Rik
Glutamatergic_neurons	Scube1
Glutamatergic_neurons	Tekt5
Glutamatergic_neurons	Fam19a2
Glutamatergic_neurons	Hrk
Glutamatergic_neurons	Plcxd2
Glutamatergic_neurons	Trim54
Glutamatergic_neurons	Slc30a3
Glutamatergic_neurons	Lmo3
Glutamatergic_neurons	Nptxr
Glutamatergic_neurons	Fam19a1
Glutamatergic_neurons	Abi3bp
Glutamatergic_neurons	4930426D05Rik
Glutamatergic_neurons	Ndst4
Glutamatergic_neurons	Klhl14
Glutamatergic_neurons	Rgs14
Glutamatergic_neurons	Oxtr
Glutamatergic_neurons	Bmp3
Glutamatergic_neurons	Ndst4
Glutamatergic_neurons	C1ql3
Glutamatergic_neurons	Crym
Glutamatergic_neurons	Fezf2
Glutamatergic_neurons	RP24-134N2.1
Glutamatergic_neurons	Kcng1
Glutamatergic_neurons	Kcnf1
Glutamatergic_neurons	Galnt9
Glutamatergic_neurons	Ebf2
Glutamatergic_neurons	Zmym1
Glutamatergic_neurons	Ebf1
Glutamatergic_neurons	Tshz3
Glutamatergic_neurons	Tunar
Glutamatergic_neurons	Gpr101
Glutamatergic_neurons	Hoxc4
Glutamatergic_neurons	Ebf1
Glutamatergic_neurons	AW551984
Glutamatergic_neurons	Rab9b
Glutamatergic_neurons	Slc17a6
Glutamatergic_neurons	Prlr
Glutamatergic_neurons	Gprasp2
Glutamatergic_neurons	AW551984
Glutamatergic_neurons	Rab9b
Glutamatergic_neurons	Gpx2
Glutamatergic_neurons	Olfm2
Glutamatergic_neurons	Klhl1
Glutamatergic_neurons	Hoxb3
Glutamatergic_neurons	Kctd9
Glutamatergic_neurons	Irx2
Glutamatergic_neurons	Ly6d
Glutamatergic_neurons	Fcmr
Glutamatergic_neurons	Fat2
Glutamatergic_neurons	Irx1
Glutamatergic_neurons	Irx2
Glutamatergic_neurons	Hoxc5
Glutamatergic_neurons	Esrrg
Glutamatergic_neurons	Rnf152
Glutamatergic_neurons	Sgcg
Glutamatergic_neurons	Irx2
Glutamatergic_neurons	Mreg
Glutamatergic_neurons	Esrrg
Glutamatergic_neurons	Rnf152
Glutamatergic_neurons	Ucma
Glutamatergic_neurons	Spp1
Glutamatergic_neurons	Cyp2s1
Glutamatergic_neurons	Nefh
Glutamatergic_neurons	Gm26673
Glutamatergic_neurons	Cpne9
Glutamatergic_neurons	Kcng4
Glutamatergic_neurons	Htr1b
Glutamatergic_neurons	Glra1
Glutamatergic_neurons	Scn4b
Glutamatergic_neurons	Kcnab3
Glutamatergic_neurons	Nov
Glutamatergic_neurons	4833422C13Rik
Glutamatergic_neurons	Baiap2l1
Glutamatergic_neurons	6330403A02Rik
Glutamatergic_neurons	Gda
Glutamatergic_neurons	Spink8
Glutamatergic_neurons	Lefty1
Glutamatergic_neurons	Neurod6
Glutamatergic_neurons	4921539H07Rik
Glutamatergic_neurons	Wipf3
Glutamatergic_neurons	Lpl
Glutamatergic_neurons	Gm26644
Glutamatergic_neurons	Nr4a3
Glutamatergic_neurons	Nptx1
Glutamatergic_neurons	Rnf182
Glutamatergic_neurons	Shox2
Glutamatergic_neurons	Aldh3b2
Glutamatergic_neurons	Ramp3
Glutamatergic_neurons	Rasl11a
Glutamatergic_neurons	Cfap221
Glutamatergic_neurons	Tac1
Glutamatergic_neurons	Trim66
Glutamatergic_neurons	Hap1
Glutamatergic_neurons	Cd83
Glutamatergic_neurons	Rasgrf2
Glutamatergic_neurons	Cartpt
Glutamatergic_neurons	Pou4f2
Glutamatergic_neurons	Foxp2
Glutamatergic_neurons	Ctxn2
Glutamatergic_neurons	Rnd1
Glutamatergic_neurons	Tcf7l2
Glutamatergic_neurons	Cabp7
Glutamatergic_neurons	Htr2c
Glutamatergic_neurons	Gm13205
Glutamatergic_neurons	Gm13629
Glutamatergic_neurons	Syt2
Glutamatergic_neurons	Oscp1
Glutamatergic_neurons	Vamp1
Glutamatergic_neurons	Cd83
Glutamatergic_neurons	Scn1a
Glutamatergic_neurons	Tcf7l2
Glutamatergic_neurons	Coro6
Glutamatergic_neurons	Tpbg
Glutamatergic_neurons	Vstm2b
Glutamatergic_neurons	Plk5
Glutamatergic_neurons	Lhx9
Glutamatergic_neurons	Tfap2d
Glutamatergic_neurons	Adcyap1
Glutamatergic_neurons	Fam84a
Glutamatergic_neurons	Tmem91
Glutamatergic_neurons	Tcf7l2
Glutamatergic_neurons	Zfp239
Glutamatergic_neurons	Cbln2
Glutamatergic_neurons	AW551984
Glutamatergic_neurons	Zfhx4
Glutamatergic_neurons	En1
Glutamatergic_neurons	Ngb
Glutamatergic_neurons	Ndst4
Glutamatergic_neurons	AW551984
Glutamatergic_neurons	Zfhx4
Glutamatergic_neurons	En1
Glutamatergic_neurons	Sema3f
Glutamatergic_neurons	Ndst4
Glutamatergic_neurons	Inadl
Glutamatergic_neurons	Plcxd2
Glutamatergic_neurons	Npnt
Glutamatergic_neurons	Gpc3
Glutamatergic_neurons	Tmem132c
Glutamatergic_neurons	Kcnd3
Glutamatergic_neurons	Tpd52l1
Glutamatergic_neurons	Barhl1
Glutamatergic_neurons	Myh8
Glutamatergic_neurons	Rorb
Glutamatergic_neurons	Col25a1
Glutamatergic_neurons	Cdh7
Glutamatergic_neurons	Barhl1
Glutamatergic_neurons	Kcnab1
Glutamatergic_neurons	Sorcs1
Glutamatergic_neurons	Col25a1
